"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall døgnopphold";"Antall kontakter i poliklinikk";"Antall dagbehandlinger";"FLAGG"
"2018";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Vest";"419457";"89548";"533473";"129543";"1097210";"73058";""
"2018";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"280236";"57540";"376681";"83509";"788294";"53166";""
"2018";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Nord";"188640";"41164";"284513";"60418";"456455";"52849";""
"2018";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1984371";"588598";"3916135";"918737";"5882607";"658002";""
"2018";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"1084938";"325192";"2117009";"507403";"3190679";"382514";""
"2018";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"413914";"125115";"799029";"194355";"1205315";"111804";""
"2018";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"287284";"80879";"571059";"125609";"925595";"83717";""
"2018";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"202025";"57794";"429038";"91370";"561018";"79967";""
"2018";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Landet";"1081985";"0";"0";"0";"2560503";"0";""
"2018";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"672286";"0";"0";"0";"1656287";"0";""
"2018";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"214910";"0";"0";"0";"478098";"0";""
"2018";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"127519";"0";"0";"0";"288656";"0";""
"2018";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"67995";"0";"0";"0";"137462";"0";""
"2018";"hele året";"Somatikk (SOM)";"Alle aktører";"Landet";"2512251";"588598";"3916135";"918737";"8443110";"658002";""
"2018";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1426211";"325192";"2117009";"507403";"4846966";"382514";""
"2018";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Vest";"514854";"125115";"799029";"194355";"1683413";"111804";""
"2018";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"344542";"80879";"571059";"125609";"1214251";"83717";""
"2018";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Nord";"231651";"57794";"429038";"91370";"698480";"79967";""
"2019";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1115457";"233902";"1324979";"309648";"2094334";"243206";""
"2019";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"607851";"127954";"716754";"169779";"1133400";"140489";""
