"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall døgnopphold";"Antall kontakter i poliklinikk";"Antall dagbehandlinger";"FLAGG"
"2025";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"67613";"0";"0";"0";"146145";"0";""
"2025";"hele året";"Somatikk (SOM)";"Alle aktører";"Landet";"2739878";"587451";"3595582";"909680";"9819944";"760818";""
"2025";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1568250";"325036";"1978140";"503434";"5642406";"445161";""
"2025";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Vest";"557630";"123304";"702362";"189572";"1976994";"115608";""
"2025";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"373476";"82289";"521920";"126933";"1370355";"115576";""
"2025";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Nord";"246381";"57155";"393160";"89741";"830189";"84473";""
"2026";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1255161";"234829";"1197527";"305753";"2461209";"260633";""
"2026";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"684478";"130595";"662507";"170568";"1323212";"151836";""
"2026";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"262499";"49381";"237111";"64057";"527589";"40085";""
"2026";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"181357";"32361";"169842";"41849";"369359";"39954";""
"2026";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"127231";"22519";"128067";"29279";"241049";"28758";""
"2026";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Landet";"556518";"0";"0";"0";"907205";"0";""
"2026";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"354305";"0";"0";"0";"588769";"0";""
"2026";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"107429";"0";"0";"0";"166964";"0";""
"2026";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"65516";"0";"0";"0";"103582";"0";""
"2026";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"29326";"0";"0";"0";"47890";"0";""
"2026";"januar-april";"Somatikk (SOM)";"Alle aktører";"Landet";"1614030";"234829";"1197527";"305753";"3368414";"260633";""
"2026";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"917298";"130595";"662507";"170568";"1911981";"151836";""
"2026";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Vest";"330516";"49381";"237111";"64057";"694553";"40085";""
"2026";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"221734";"32361";"169842";"41849";"472941";"39954";""
"2026";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Nord";"144969";"22519";"128067";"29279";"288939";"28758";""
"2026";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Landet";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Alle aktører";"Landet";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Vest";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"";"";"";"";"";"";".."
"2026";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Nord";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Landet";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Alle aktører";"Landet";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Vest";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"";"";"";"";"";"";".."
"2026";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Nord";"";"";"";"";"";"";".."
