"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall kontakter i poliklinikk";"FLAGG"
"2021";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"23566";"5026";"210805";"215574";""
"2021";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"14810";"3018";"133806";"119184";""
"2021";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"4957";"877";"34927";"66460";""
"2021";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"2301";"629";"21907";"20970";""
"2021";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"1555";"508";"20165";"8960";""
"2021";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"28373";"7284";"421375";"398426";""
"2021";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"17888";"4359";"264651";"216408";""
"2021";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"5850";"1278";"71272";"125824";""
"2021";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"2835";"924";"43929";"39424";""
"2021";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"1937";"738";"41523";"16770";""
"2021";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"32959";"9182";"636482";"600700";""
"2021";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"20674";"5511";"397565";"325123";""
"2021";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"6670";"1610";"108676";"188234";""
"2021";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"3490";"1182";"66285";"62517";""
"2021";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"2343";"910";"63956";"24826";""
"2022";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"23298";"5163";"219986";"200814";""
"2022";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"14302";"3126";"137535";"106555";""
"2022";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"5005";"865";"39001";"64547";""
"2022";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"2501";"663";"22835";"21526";""
"2022";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"1547";"516";"20615";"8186";""
"2022";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"28640";"7690";"430920";"380222";""
"2022";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"17754";"4649";"269499";"197618";""
"2022";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"5965";"1323";"76022";"125313";""
"2022";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"3051";"958";"44551";"41253";""
"2022";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"2015";"777";"40848";"16038";""
"2022";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"33504";"9842";"649982";"569630";""
"2022";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"20977";"5948";"407178";"299441";""
"2022";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"6738";"1726";"113819";"182886";""
"2022";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"3605";"1241";"66175";"62125";""
"2022";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"2421";"968";"62810";"25178";""
"2023";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"24114";"5234";"212806";"197733";""
"2023";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"14863";"3144";"134028";"105624";""
"2023";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"5106";"916";"36004";"62251";""
"2023";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"2461";"666";"21459";"20830";""
"2023";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"1748";"525";"21315";"9028";""
"2023";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"29361";"7713";"406847";"375698";""
"2023";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"18245";"4638";"255658";"200729";""
"2023";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"6071";"1363";"68534";"120635";""
"2023";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"3015";"993";"42226";"37380";""
"2023";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"2177";"753";"40429";"16954";""
