"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall kontakter i poliklinikk";"FLAGG"
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Landet";"52694";"0";"0";"642980";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Sør-Øst";"33442";"0";"0";"436180";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Vest";"12192";"0";"0";"126407";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Midt-Norge";"4473";"0";"0";"46425";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Nord";"2724";"0";"0";"33968";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Landet";"196274";"27061";"1057197";"2455414";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Sør-Øst";"111448";"14715";"581046";"1469859";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Vest";"40514";"5711";"242769";"479863";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Midt-Norge";"27383";"3580";"122326";"312603";""
"2018";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Nord";"18038";"3150";"111056";"193089";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Landet";"99265";"13638";"358702";"657790";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"54333";"7378";"200254";"378721";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Vest";"19496";"2880";"79705";"127730";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"15570";"1823";"41524";"95889";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Nord";"10041";"1570";"37219";"55450";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Landet";"34442";"0";"0";"218925";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Sør-Øst";"21548";"0";"0";"147196";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Vest";"8137";"0";"0";"43808";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Midt-Norge";"3008";"0";"0";"16485";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Nord";"1769";"0";"0";"11436";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Landet";"131195";"13638";"358702";"876715";""
