Tidsperiode,Kvalitetsindikator,Måltall,Lokasjon,Verdi,Sektor,Nivå,QualityIndicatorID,LocationId
2023,5 års relativ overlevelse etter høy-risiko prostatakreft,5 års relativ overlevelse etter behandling etter høy-risiko prostatakreft,Helse Sør-Øst RHF,"95,8%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,241,991324968
2024,5 års relativ overlevelse etter høy-risiko prostatakreft,5 års relativ overlevelse etter behandling etter høy-risiko prostatakreft,Helse Sør-Øst RHF,"95,0%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,241,991324968
2021,5 års relativ overlevelse etter høy-risiko prostatakreft,5 års relativ overlevelse etter behandling etter høy-risiko prostatakreft,Helse Vest RHF,"97,1%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,241,983658725
2022,5 års relativ overlevelse etter høy-risiko prostatakreft,5 års relativ overlevelse etter behandling etter høy-risiko prostatakreft,Helse Vest RHF,"98,2%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,241,983658725
2023,5 års relativ overlevelse etter høy-risiko prostatakreft,5 års relativ overlevelse etter behandling etter høy-risiko prostatakreft,Helse Vest RHF,"98,9%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,241,983658725
2024,5 års relativ overlevelse etter høy-risiko prostatakreft,5 års relativ overlevelse etter behandling etter høy-risiko prostatakreft,Helse Vest RHF,"100,1%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,241,983658725
2021,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Midt-Norge RHF,"56,4%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,983658776
2022,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Midt-Norge RHF,"51,8%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,983658776
2023,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Midt-Norge RHF,"51,1%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,983658776
2024,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Midt-Norge RHF,"50,4%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,983658776
2021,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Nord RHF,"50,7%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,883658752
2022,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Nord RHF,"49,4%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,883658752
2023,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Nord RHF,"51,4%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,883658752
2024,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Nord RHF,"53,7%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,883658752
2021,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Sør-Øst RHF,"51,4%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,991324968
2022,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Sør-Øst RHF,"52,1%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,991324968
2023,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Sør-Øst RHF,"50,4%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,991324968
2024,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Sør-Øst RHF,"50,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,991324968
2021,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Vest RHF,"43,7%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,983658725
2022,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Vest RHF,"44,3%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,983658725
