Tidsperiode,Kvalitetsindikator,Måltall,Lokasjon,Verdi,Sektor,Nivå,QualityIndicatorID,LocationId
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Nordlandssykehuset HF,585,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974910
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Nordlandssykehuset HF,491,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974910
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Nordlandssykehuset HF,545,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974910
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Nordlandssykehuset HF,583,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974910
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Nordlandssykehuset HF,677,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983974910
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Oslo universitetssykehus HF,1087,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,993467049
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Oslo universitetssykehus HF,1128,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,993467049
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Oslo universitetssykehus HF,1142,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,993467049
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Oslo universitetssykehus HF,1183,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,993467049
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Oslo universitetssykehus HF,1299,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,993467049
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,St. Olavs Hospital HF,1332,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,883974832
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,St. Olavs Hospital HF,1287,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,883974832
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,St. Olavs Hospital HF,1639,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,883974832
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,St. Olavs Hospital HF,1886,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,883974832
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,St. Olavs Hospital HF,1838,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,883974832
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset i Vestfold HF,1454,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983975259
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset i Vestfold HF,1440,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983975259
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset i Vestfold HF,1386,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983975259
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset i Vestfold HF,1311,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983975259
